"apcmv1-c1-en2","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","isolation.tools.diskShrink.disable:true","isolation.tools.diskWiper.disable:true","RemoteDisplay.maxConnections:1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","isolation.tools.vmxDnDVersionGet.disable:true","Not Set","Not Set","Not Set","TRUE","Hard disk 3","Not Set","Not Set","RemoteDisplay.maxConnections:1","Not Set","Not Set","Not Set","Not Set"
"apcmv1-c1-nsx1","ftEncryptionOpportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","isolation.tools.diskShrink.disable:true","isolation.tools.diskWiper.disable:true","RemoteDisplay.maxConnections:1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","isolation.tools.vmxDnDVersionGet.disable:true","Not Set","Not Set","Not Set","TRUE","Hard disk 1","Not Set","Not Set","RemoteDisplay.maxConnections:1","Not Set","Not Set","Not Set","Not Set"
"apcmv1-c1-nsx2","ftEncryptionOpportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","isolation.tools.diskShrink.disable:true","isolation.tools.diskWiper.disable:true","RemoteDisplay.maxConnections:1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","isolation.tools.vmxDnDVersionGet.disable:true","Not Set","Not Set","Not Set","TRUE","Hard disk 1","Not Set","Not Set","RemoteDisplay.maxConnections:1","Not Set","Not Set","Not Set","Not Set"
"apcmv1-c1-nsx3","ftEncryptionOpportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","isolation.tools.diskShrink.disable:true","isolation.tools.diskWiper.disable:true","RemoteDisplay.maxConnections:1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","isolation.tools.vmxDnDVersionGet.disable:true","Not Set","Not Set","Not Set","TRUE","Hard disk 1","Not Set","Not Set","RemoteDisplay.maxConnections:1","Not Set","Not Set","Not Set","Not Set"
"apcmv1-c1-vc","ftEncryptionOpportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 2","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-c1-vrm","ftEncryptionOpportunistic","Not Set","Not Set","Not Set","@{Parent=apcmv1-c1-vrm; Name=Floppy drive 1; ConnectionState=NotConnected, GuestControl, NoStartConnected}","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 1","tools.guest.desktop.autolock:FALSE","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-c1rpa1","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 2","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-c1rpa2","ftEncryptionOpportunistic","Not Set","Not Set","USB controller ","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-c1rpa3","ftEncryptionOpportunistic","Not Set","Not Set","Floppy drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 2","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-cb","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
